Person_Id,Max_Education
1,12
2,12
3,12
4,14
5,18
6,16
7,12
8,14
9,14
10,9
11,16
12,16
13,16
14,19
15,16
16,13
17,13
18,13
19,12
20,17
21,16
22,16
23,19
24,12
25,14
26,16
27,16
28,13
29,12
30,12
31,12
32,18
33,12
34,13
35,13
36,12
37,12
38,12
39,12
40,14
41,15
42,12
43,12
44,12
45,12
46,19
47,12
48,12
49,14
50,12
51,8
52,14
53,12
54,10
55,12
56,11
57,12
58,17
59,12
60,12
61,14
62,16
63,16
64,13
65,16
66,14
67,18
68,16
69,18
70,18
71,19
72,16
73,18
74,16
75,16
76,14
77,16
78,16
79,18
80,19
81,19
82,12
83,10
84,12
85,11
86,9
87,12
88,16
89,16
90,16
91,16
92,12
93,12
94,10
95,12
96,12
97,14
98,13
99,14
100,12
101,20
102,16
103,18
104,12
105,12
106,16
107,16
108,20
109,12
110,13
111,12
112,12
113,12
114,12
115,16
116,15
117,15
118,9
119,16
120,16
121,17
122,12
123,16
124,15
125,13
126,14
127,12
128,12
129,16
130,13
131,12
132,12
133,12
134,12
135,16
136,12
137,16
138,16
139,15
140,17
141,18
142,12
143,15
144,12
145,12
146,12
147,14
148,12
149,12
150,12
151,12
152,12
153,12
154,8
155,9
156,11
157,20
158,17
159,16
160,14
161,12
162,18
163,16
164,12
165,12
166,13
167,12
168,16
169,14
170,14
171,16
172,9
173,9
174,13
175,14
176,16
177,12
178,16
179,12
180,16
181,12
182,13
183,12
184,16
185,12
186,18
187,15
188,10
189,16
190,18
191,19
192,16
193,16
194,16
195,18
196,18
197,12
198,18
199,12
200,12
201,16
202,14
203,13
204,12
205,12
206,10
207,12
208,12
209,11
210,16
211,16
212,12
213,16
214,16
215,16
216,16
217,10
218,16
219,20
220,20
221,12
222,9
223,12
224,12
225,12
226,13
227,12
228,9
229,12
230,15
231,12
232,14
233,12
234,12
235,15
236,13
237,12
238,12
239,10
240,12
241,12
242,12
243,12
244,12
245,14
246,17
247,20
248,14
249,17
250,12
251,13
252,12
253,11
254,12
255,12
256,13
257,12
258,14
259,12
260,16
261,16
262,12
263,12
264,16
265,16
266,12
267,12
268,14
269,16
270,12
271,20
272,16
273,15
274,13
275,14
276,12
277,12
278,13
279,12
280,18
281,18
282,16
283,12
284,12
285,12
286,16
287,12
288,12
289,12
290,10
291,12
292,20
293,13
294,12
295,10
296,12
297,12
298,16
299,11
300,12
301,12
302,12
303,12
304,11
305,12
306,14
307,12
308,12
309,13
310,12
311,12
312,16
313,11
314,14
315,12
316,12
317,16
318,12
319,18
320,12
321,16
322,16
323,12
324,9
325,15
326,14
327,16
328,10
329,8
330,9
331,12
332,12
