,Person_Id,Total_Jobs,Years_Job_History,Female,Gender,Education_Ctg,Frac_Years_Pvt,Frac_Years_Gvt,Frac_Years_Self
0,1,1,3,1,Female,Complete_School,100.0,0.0,0.0
1,2,4,30,1,Female,Complete_School,50.0,50.0,0.0
2,3,17,29,1,Female,Complete_School,52.0,7.0,59.0
3,4,16,32,1,Female,Complete_School,97.0,0.0,31.0
4,5,7,11,0,Male,Graduate,91.0,27.0,9.0
5,6,11,39,0,Male,College,97.0,10.0,15.0
6,7,11,22,0,Male,Complete_School,100.0,5.0,9.0
7,8,14,39,1,Female,Complete_School,97.0,0.0,41.0
8,9,5,39,0,Male,Complete_School,28.0,0.0,74.0
9,10,9,15,1,Female,Less_School,87.0,27.0,0.0
10,11,16,25,0,Male,College,100.0,8.0,8.0
11,12,4,16,1,Female,College,100.0,6.0,6.0
12,13,11,28,0,Male,College,46.0,7.0,71.0
13,14,26,38,1,Female,Graduate,95.0,11.0,18.0
14,15,9,17,0,Male,College,76.0,35.0,6.0
15,16,13,39,1,Female,Complete_School,100.0,0.0,26.0
16,17,14,39,0,Male,Complete_School,51.0,36.0,38.0
17,18,3,39,0,Male,Complete_School,100.0,0.0,0.0
18,19,8,6,1,Female,Complete_School,100.0,33.0,0.0
19,20,10,39,1,Female,Graduate,100.0,0.0,8.0
20,21,26,39,1,Female,College,85.0,0.0,33.0
21,22,28,39,1,Female,College,90.0,0.0,36.0
22,23,7,13,0,Male,Graduate,100.0,0.0,15.0
23,24,10,20,0,Male,Complete_School,100.0,0.0,10.0
24,25,1,39,1,Female,Complete_School,100.0,0.0,0.0
25,26,7,24,0,Male,College,100.0,0.0,0.0
26,27,16,24,1,Female,College,46.0,17.0,67.0
27,28,15,31,1,Female,Complete_School,94.0,0.0,45.0
28,29,6,36,1,Female,Complete_School,81.0,0.0,36.0
29,30,3,10,1,Female,Complete_School,100.0,0.0,0.0
30,31,15,36,0,Male,Complete_School,100.0,0.0,3.0
31,32,20,28,1,Female,Graduate,64.0,43.0,39.0
32,33,1,1,0,Male,Complete_School,100.0,0.0,0.0
33,34,20,36,0,Male,Complete_School,61.0,0.0,58.0
34,35,3,15,1,Female,Complete_School,73.0,0.0,33.0
35,36,16,38,0,Male,Complete_School,45.0,3.0,71.0
36,37,4,33,1,Female,Complete_School,36.0,64.0,0.0
37,38,9,38,1,Female,Complete_School,18.0,84.0,24.0
38,39,14,39,0,Male,Complete_School,100.0,0.0,8.0
39,40,20,37,0,Male,Complete_School,49.0,62.0,35.0
40,41,9,39,0,Male,College,97.0,3.0,8.0
41,42,9,36,0,Male,Complete_School,97.0,8.0,0.0
42,43,19,20,1,Female,Complete_School,100.0,0.0,20.0
43,44,7,23,1,Female,Complete_School,100.0,0.0,4.0
44,45,8,16,0,Male,Complete_School,75.0,0.0,25.0
45,46,10,28,1,Female,Graduate,82.0,25.0,14.0
